idConfiguration,ACK,BIB,BOLD_ACK,BREF,EMAIL,JS_FOOTNOTESIZE,JS_SCRIPTSIZE,JS_STYLE,JS_TINY,LONG_ACK,LONG_AFFILIATION,PARAGRAPH_ACK,PL_FOOTNOTE,VARY_LATEX,bref_size,cserver_size,vspace_bib,nbPages,sizePDF
1,"true","true","false","true","false","false","false","true","true","true","false","true","true","true",0.8,0.7,2.8,(null),224
10,"true","true","true","true","true","false","true","true","false","false","true","false","true","true",1.0,0.8,1.7,5,220
100,"true","true","false","true","false","false","false","true","true","true","false","true","false","true",0.7,0.9,2.3,4,224
101,"false","true","false","true","false","false","true","true","false","false","true","false","false","true",0.7,0.7,0.4,4,216
102,"true","true","false","true","true","false","true","true","false","true","true","true","false","true",0.8,0.9,4.6,5,224
103,"true","true","true","true","false","false","true","true","false","false","false","false","false","true",0.9,0.9,0.4,5,216
104,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",0.9,0.9,2.0,4,216
105,"true","true","false","true","false","false","false","true","true","false","false","true","false","true",0.8,0.7,2.4,4,224
106,"true","true","true","true","false","false","false","true","true","true","true","false","false","true",0.9,0.8,1.3,4,216
107,"true","true","false","true","false","false","true","true","false","false","true","true","true","true",1.0,0.8,1.4,5,224
108,"true","true","true","true","false","false","false","true","true","true","true","false","true","true",0.8,0.7,0.9,4,216
109,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",0.7,0.8,1.2,5,224
11,"true","true","true","true","true","false","false","true","true","false","true","false","false","true",0.8,0.9,0.9,4,220
110,"true","true","true","true","false","false","false","true","true","true","false","false","true","true",0.7,0.8,3.3,4,216
111,"true","true","false","true","false","false","false","true","true","true","false","true","true","true",0.7,0.9,2.6,5,224
112,"true","true","false","true","false","false","true","true","false","true","false","true","true","true",0.8,0.8,3.6,5,224
113,"true","true","false","true","false","false","false","true","true","true","false","true","true","true",0.9,0.7,0.7,4,224
114,"false","true","false","true","true","false","false","true","true","false","true","false","true","true",1.0,0.7,3.2,4,216
115,"true","true","false","true","false","false","true","true","false","true","true","true","false","true",1.0,0.7,0.1,5,228
116,"true","true","true","true","false","false","false","true","true","true","false","false","false","true",0.8,0.9,3.5,4,216
117,"true","true","false","true","false","false","false","true","true","true","true","true","true","true",0.8,0.9,5.0,5,224
118,"true","true","false","true","false","false","true","true","false","false","false","true","true","true",0.9,0.9,4.9,5,224
119,"true","true","true","true","false","false","false","true","true","true","false","false","true","true",0.8,0.7,0.4,4,216
12,"true","true","true","true","false","false","true","true","false","false","false","false","true","true",0.8,0.8,4.0,5,216
120,"false","true","false","true","false","false","true","true","false","false","false","false","true","true",0.7,0.9,4.9,5,216
121,"true","true","false","true","false","false","false","true","true","true","true","true","false","true",0.9,0.9,0.0,5,224
122,"true","true","true","true","false","false","true","true","false","true","false","false","false","true",0.8,0.8,1.1,5,216
123,"true","true","true","true","false","false","false","true","true","true","true","false","true","true",0.9,0.7,4.5,4,216
124,"true","true","false","true","true","false","true","true","false","false","true","true","true","true",0.8,0.9,3.9,5,224
125,"true","true","true","true","false","false","false","true","true","true","true","false","true","true",0.7,0.7,4.7,4,216
126,"true","true","false","true","true","false","false","true","true","true","true","true","false","true",1.0,0.8,4.2,4,224
127,"true","true","true","true","true","false","false","true","true","true","true","false","true","true",1.0,0.8,2.4,5,220
128,"false","true","false","true","false","false","true","true","false","false","false","false","false","true",0.8,0.8,4.5,5,216
129,"true","true","true","true","false","false","false","true","true","true","true","false","false","true",0.8,0.7,3.2,4,216
13,"true","true","false","true","false","false","false","true","true","true","false","true","false","true",1.0,0.7,4.3,4,224
130,"true","true","false","true","false","false","true","true","false","false","true","true","false","true",0.8,0.7,2.4,5,224
131,"true","true","false","true","true","false","false","true","true","true","true","true","true","true",1.0,0.8,2.0,5,224
132,"true","true","true","true","false","false","true","true","false","true","false","false","false","true",0.7,0.9,0.4,5,216
133,"true","true","true","true","false","false","false","true","true","true","false","false","true","true",0.7,0.9,0.4,4,216
134,"true","true","true","true","false","false","false","true","true","false","false","false","true","true",0.9,0.9,1.7,4,216
135,"true","true","false","true","true","false","true","true","false","true","true","true","true","true",0.8,0.8,0.8,5,228
136,"true","true","true","true","false","false","true","true","false","false","false","false","false","true",0.7,0.7,0.2,4,216
